run_id,phase,train_variant,eta0,lambda,epoch,validation_relative_regret,validation_edge_f1,validation_exact_match,is_new_prefix_best,prefix_best_epoch,prefix_best_relative_regret,stale_evaluations,early_stop_here,current_q_min,current_q_max,q_boundary_pct,event_has_nonfinite,current_q_at_max,current_q_at_min,epoch_ms,event_nonfinite_fields,logged_best_marker,prefix_best_edge_f1,prefix_best_exact_match,projected_edges,q_boundary_count,selection_loss,update_status,validation_edge_jaccard
baseline_full_q1,controls,all,0.0001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3675.53,,True,0.591144,0.337542,,0,0.093522778359,final_skipped,0.521204
control_full_eta1e4_t20,controls,all,0.0001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3961.561,,True,0.591144,0.337542,1,0,0.093522778359,applied,0.521204
control_full_eta1e4_t20,controls,all,0.0001,100000,4,0.0785957,0.628576,0.306898,True,4,0.0785957,0,False,0.264202,1.591298,0.0,False,0,0,3756.292,,True,0.628576,0.306898,0,0,0.078595695917,applied,0.546648
control_full_eta1e4_t20,controls,all,0.0001,100000,9,0.07282659,0.647051,0.335573,True,9,0.07282659,0,False,0.21486,1.382921,0.0,False,0,0,3736.027,,True,0.647051,0.335573,0,0,0.072826590332,applied,0.568811
control_full_eta1e4_t20,controls,all,0.0001,100000,14,0.07005126,0.657076,0.347624,True,14,0.07005126,0,False,0.182375,1.39667,0.0,False,0,0,3641.243,,True,0.657076,0.347624,0,0,0.070051259306,applied,0.580206
control_full_eta1e4_t20,controls,all,0.0001,100000,19,0.0682635,0.656391,0.346694,True,19,0.0682635,0,False,0.173515,1.431332,0.0,False,0,0,3625.099,,True,0.656391,0.346694,,0,0.068263500935,final_skipped,0.57909
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3460.228,,True,0.591144,0.337542,520,0,0.093522778359,applied,0.521204
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,4,0.37442117,0.488051,0.181279,False,0,0.09352278,1,False,0.1,9.558986,0.20649703420366983,False,0,149,3532.688,,False,0.591144,0.337542,145,149,0.374421165299,applied,0.401077
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,9,0.24379169,0.55009,0.228337,False,0,0.09352278,2,False,0.1,10.0,0.08731082654249127,False,1,62,3554.932,,False,0.591144,0.337542,92,63,0.243791692714,applied,0.463605
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,14,0.23046721,0.583148,0.261235,False,0,0.09352278,3,False,0.1,9.286122,0.08731082654249127,False,0,63,3365.118,,False,0.591144,0.337542,51,63,0.230467209244,applied,0.498768
conv_10pct_eta1e3,convergence_10pct,scale_10pct_seed42,0.001,100000,19,0.15416682,0.605338,0.280913,False,0,0.09352278,4,True,0.1,6.742105,0.05404955928820888,False,0,39,3421.285,,False,0.591144,0.337542,,39,0.154166823126,early_stop_skipped,0.522086
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3470.518,,True,0.591144,0.337542,2,0,0.093522778359,applied,0.521204
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,4,0.0779916,0.630257,0.312005,True,4,0.0779916,0,False,0.279476,1.589798,0.0,False,0,0,3462.325,,True,0.630257,0.312005,0,0,0.077991595379,applied,0.549219
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,9,0.07285361,0.642692,0.328854,True,9,0.07285361,0,False,0.236031,1.371611,0.0,False,0,0,3491.236,,True,0.642692,0.328854,0,0,0.07285360594,applied,0.563128
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,14,0.07112801,0.651323,0.338751,True,14,0.07112801,0,False,0.206413,1.380481,0.0,False,0,0,3417.036,,True,0.651323,0.338751,0,0,0.071128013385,applied,0.573272
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,19,0.06920375,0.655735,0.346191,True,19,0.06920375,0,False,0.197645,1.411651,0.0,False,0,0,3411.136,,True,0.655735,0.346191,0,0,0.069203753012,applied,0.578596
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,24,0.06790915,0.659943,0.351181,True,24,0.06790915,0,False,0.202398,1.444081,0.0,False,0,0,3152.3,,True,0.659943,0.351181,0,0,0.067909150212,applied,0.583374
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,29,0.0675314,0.663511,0.356754,True,29,0.0675314,0,False,0.177867,1.467322,0.0,False,0,0,3026.015,,True,0.663511,0.356754,0,0,0.067531396063,applied,0.587734
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,34,0.06686125,0.664255,0.35339,True,34,0.06686125,0,False,0.148365,1.478498,0.0,False,0,0,3042.259,,True,0.664255,0.35339,0,0,0.066861249951,applied,0.588102
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,39,0.06642207,0.668025,0.361497,True,39,0.06642207,0,False,0.128439,1.485603,0.0,False,0,0,3068.205,,True,0.668025,0.361497,0,0,0.066422074633,applied,0.592815
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,44,0.06609794,0.667308,0.359722,True,44,0.06609794,0,False,0.114594,1.48904,0.0,False,0,0,2956.986,,True,0.667308,0.359722,0,0,0.066097939819,applied,0.591981
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,49,0.06568588,0.671061,0.362589,True,49,0.06568588,0,False,0.102166,1.496779,0.0,False,0,0,3045.734,,True,0.671061,0.362589,0,0,0.065685883163,applied,0.595984
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,54,0.06557547,0.672055,0.364674,True,54,0.06557547,0,False,0.1,1.497505,0.0013858861355950994,False,0,1,2978.047,,True,0.672055,0.364674,1,1,0.065575465638,applied,0.597426
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,59,0.06532172,0.670518,0.361621,True,59,0.06532172,0,False,0.1,1.503802,0.0013858861355950994,False,0,1,3015.44,,True,0.670518,0.361621,1,1,0.065321715443,applied,0.595495
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,64,0.06521325,0.674954,0.368642,True,64,0.06521325,0,False,0.1,1.505874,0.0013858861355950994,False,0,1,3124.974,,True,0.674954,0.368642,1,1,0.065213249287,applied,0.600975
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,69,0.06488329,0.675029,0.366612,True,69,0.06488329,0,False,0.1,1.507893,0.0013858861355950994,False,0,1,3157.781,,True,0.675029,0.366612,0,1,0.064883293153,applied,0.60071
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,74,0.0648394,0.672516,0.361752,True,74,0.0648394,0,False,0.1,1.513387,0.002771772271190199,False,0,2,3082.738,,True,0.672516,0.361752,1,2,0.06483940103,applied,0.597355
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,79,0.06464792,0.676576,0.371781,True,79,0.06464792,0,False,0.1,1.516398,0.0013858861355950994,False,0,1,3061.476,,True,0.676576,0.371781,2,1,0.064647922437,applied,0.602669
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,84,0.06457173,0.675222,0.366441,True,84,0.06457173,0,False,0.1,1.526894,0.002771772271190199,False,0,2,2933.688,,True,0.675222,0.366441,2,2,0.064571726527,applied,0.600637
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,89,0.06443802,0.677751,0.373401,True,89,0.06443802,0,False,0.1,1.535862,0.002771772271190199,False,0,2,2980.193,,True,0.677751,0.373401,1,2,0.064438023282,applied,0.604109
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,94,0.06439223,0.675871,0.369123,True,94,0.06439223,0,False,0.1,1.541294,0.0013858861355950994,False,0,1,3043.805,,True,0.675871,0.369123,1,1,0.064392230197,applied,0.601694
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,99,0.06430115,0.676683,0.369115,True,99,0.06430115,0,False,0.1,1.54668,0.002771772271190199,False,0,2,3036.869,,True,0.676683,0.369115,,2,0.064301146471,final_skipped,0.602539
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3450.116,,True,0.591144,0.337542,68,0,0.093522778359,applied,0.521204
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,4,0.1255273,0.598137,0.267373,False,0,0.09352278,1,False,0.1,3.843441,0.008315316813570598,False,0,6,3494.82,,False,0.591144,0.337542,4,6,0.125527301547,applied,0.512741
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,9,0.09250978,0.631302,0.306875,True,9,0.09250978,0,False,0.1,2.590289,0.0013858861355950994,False,0,1,3511.92,,True,0.631302,0.306875,1,1,0.092509778208,applied,0.549705
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,14,0.07965427,0.645005,0.324808,True,14,0.07965427,0,False,0.1,1.911458,0.002771772271190199,False,0,2,3413.426,,True,0.645005,0.324808,2,2,0.079654273001,applied,0.564956
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,19,0.07797498,0.651443,0.333891,True,19,0.07797498,0,False,0.1,1.858297,0.002771772271190199,False,0,2,3405.41,,True,0.651443,0.333891,2,2,0.077974977739,applied,0.572283
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,24,0.07343597,0.655896,0.336108,True,24,0.07343597,0,False,0.1,1.827526,0.004157658406785299,False,0,3,3098.443,,True,0.655896,0.336108,1,3,0.073435966324,applied,0.577284
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,29,0.07254386,0.659565,0.344493,True,29,0.07254386,0,False,0.1,1.799061,0.005543544542380398,False,0,4,3084.829,,True,0.659565,0.344493,3,4,0.072543864038,applied,0.581832
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,34,0.0719541,0.659021,0.343858,True,34,0.0719541,0,False,0.1,1.780699,0.005543544542380398,False,0,4,3036.902,,True,0.659021,0.343858,3,4,0.071954102797,applied,0.581229
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,39,0.07012789,0.660691,0.342316,True,39,0.07012789,0,False,0.1,1.754336,0.005543544542380398,False,0,4,3026.034,,True,0.660691,0.342316,5,4,0.07012788773,applied,0.582259
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,44,0.06977726,0.665314,0.351243,True,44,0.06977726,0,False,0.1,1.801565,0.004157658406785299,False,0,3,3018.225,,True,0.665314,0.351243,5,3,0.069777263534,applied,0.588546
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,49,0.0689969,0.665052,0.347926,True,49,0.0689969,0,False,0.1,1.846098,0.008315316813570598,False,0,6,3030.7,,True,0.665052,0.347926,7,6,0.068996903672,applied,0.587479
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,54,0.06792081,0.664636,0.349523,True,54,0.06792081,0,False,0.1,1.887686,0.005543544542380398,False,0,4,3110.936,,True,0.664636,0.349523,4,4,0.06792080659,applied,0.587307
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,59,0.06771437,0.670661,0.358063,True,59,0.06771437,0,False,0.1,1.913527,0.011087089084760795,False,0,8,3042.432,,True,0.670661,0.358063,7,8,0.067714366268,applied,0.594434
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,64,0.06608205,0.672068,0.359823,True,64,0.06608205,0,False,0.1,1.929316,0.009701202949165696,False,0,7,3097.308,,True,0.672068,0.359823,8,7,0.066082051587,applied,0.596096
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,69,0.0671084,0.669329,0.358466,False,64,0.06608205,1,False,0.1,1.937261,0.005543544542380398,False,0,4,3080.168,,False,0.672068,0.359823,8,4,0.067108403047,applied,0.592977
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,74,0.06575003,0.673267,0.360667,True,74,0.06575003,0,False,0.1,1.948744,0.009701202949165696,False,0,7,3067.615,,True,0.673267,0.360667,8,7,0.065750032978,applied,0.597549
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,79,0.06549136,0.672747,0.357203,True,79,0.06549136,0,False,0.1,1.955318,0.009701202949165696,False,0,7,3032.441,,True,0.672747,0.357203,8,7,0.065491357858,applied,0.596582
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,84,0.06505032,0.678347,0.36734,True,84,0.06505032,0,False,0.1,1.955157,0.012472975220355896,False,0,9,2988.473,,True,0.678347,0.36734,8,9,0.065050320087,applied,0.603723
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,89,0.06440743,0.675646,0.362303,True,89,0.06440743,0,False,0.1,1.962551,0.016630633627141195,False,0,12,3045.376,,True,0.675646,0.362303,9,12,0.064407433682,applied,0.5998
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,94,0.06455748,0.673949,0.362287,False,89,0.06440743,1,False,0.1,1.97062,0.012472975220355896,False,0,9,3021.282,,False,0.675646,0.362303,12,9,0.064557481043,applied,0.598352
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,99,0.06495676,0.676305,0.362148,False,89,0.06440743,2,False,0.1,1.971425,0.013858861355950994,False,0,10,2930.862,,False,0.675646,0.362303,,10,0.064956758931,final_skipped,0.600778
conv_full_eta1e3,convergence_full,all,0.001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3750.237,,True,0.591144,0.337542,517,0,0.093522778359,applied,0.521204
conv_full_eta1e3,convergence_full,all,0.001,100000,4,0.37076917,0.490987,0.182767,False,0,0.09352278,1,False,0.1,9.735042,0.18570874216974334,False,0,134,3663.137,,False,0.591144,0.337542,130,134,0.370769173457,applied,0.40293
conv_full_eta1e3,convergence_full,all,0.001,100000,9,0.23930989,0.562421,0.238482,False,0,0.09352278,2,False,0.1,8.71922,0.10809911857641775,False,0,78,3622.003,,False,0.591144,0.337542,76,78,0.23930989034,applied,0.476433
conv_full_eta1e3,convergence_full,all,0.001,100000,14,0.23979745,0.57438,0.255942,False,0,0.09352278,3,False,0.1,8.471166,0.07345196518654028,False,0,53,3639.994,,False,0.591144,0.337542,66,53,0.23979744522,applied,0.490031
conv_full_eta1e3,convergence_full,all,0.001,100000,19,0.16089075,0.598858,0.280765,False,0,0.09352278,4,True,0.1,7.313069,0.06097898996618438,False,0,44,3711.93,,False,0.591144,0.337542,,44,0.160890751199,early_stop_skipped,0.516363
conv_full_eta1e4,convergence_full,all,0.0001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3632.818,,True,0.591144,0.337542,1,0,0.093522778359,applied,0.521204
conv_full_eta1e4,convergence_full,all,0.0001,100000,4,0.0785957,0.628576,0.306898,True,4,0.0785957,0,False,0.264202,1.591298,0.0,False,0,0,3683.35,,True,0.628576,0.306898,0,0,0.078595695917,applied,0.546648
conv_full_eta1e4,convergence_full,all,0.0001,100000,9,0.07282659,0.647051,0.335573,True,9,0.07282659,0,False,0.21486,1.382921,0.0,False,0,0,3715.446,,True,0.647051,0.335573,0,0,0.072826590332,applied,0.568811
conv_full_eta1e4,convergence_full,all,0.0001,100000,14,0.07005126,0.657076,0.347624,True,14,0.07005126,0,False,0.182375,1.39667,0.0,False,0,0,3794.35,,True,0.657076,0.347624,0,0,0.070051259306,applied,0.580206
conv_full_eta1e4,convergence_full,all,0.0001,100000,19,0.0682635,0.656391,0.346694,True,19,0.0682635,0,False,0.173515,1.431332,0.0,False,0,0,3642.842,,True,0.656391,0.346694,0,0,0.068263500935,applied,0.57909
conv_full_eta1e4,convergence_full,all,0.0001,100000,24,0.06759878,0.663767,0.355397,True,24,0.06759878,0,False,0.175042,1.466312,0.0,False,0,0,3601.916,,True,0.663767,0.355397,0,0,0.067598776697,applied,0.58801
conv_full_eta1e4,convergence_full,all,0.0001,100000,29,0.06700788,0.664288,0.357335,True,29,0.06700788,0,False,0.182168,1.487933,0.0,False,0,0,3641.584,,True,0.664288,0.357335,0,0,0.067007882671,applied,0.588518
conv_full_eta1e4,convergence_full,all,0.0001,100000,34,0.06634507,0.669433,0.36252,True,34,0.06634507,0,False,0.183016,1.491052,0.0,False,0,0,3632.019,,True,0.669433,0.36252,0,0,0.066345066898,applied,0.594412
conv_full_eta1e4,convergence_full,all,0.0001,100000,39,0.06577967,0.670189,0.366495,True,39,0.06577967,0,False,0.192797,1.494336,0.0,False,0,0,3626.646,,True,0.670189,0.366495,0,0,0.065779666038,applied,0.595824
conv_full_eta1e4,convergence_full,all,0.0001,100000,44,0.06567194,0.670698,0.364108,True,44,0.06567194,0,False,0.198567,1.504673,0.0,False,0,0,3711.657,,True,0.670698,0.364108,0,0,0.065671935296,applied,0.59598
conv_full_eta1e4,convergence_full,all,0.0001,100000,49,0.06509124,0.670798,0.365147,True,49,0.06509124,0,False,0.19354,1.510544,0.0,False,0,0,3716.367,,True,0.670798,0.365147,0,0,0.065091240055,applied,0.595927
